Comment,Sentiment
"I'm curious what we do with [PLAYER] in the next few days. Letting him walk feels like bad asset management. I'd love to re-sign him. If we have serious playoff hopes next year, I don't think [PLAYER] is ready to be a 1A just yet.",neutral
 [PLAYER] getting his first goal days before trade deadline,positive
[PLAYER] has that dog in him.  What a game! ,positive
In games like that you can see why GMMG likes [PLAYER]. What a game.,positive
"[PLAYER] hitting the scoresheet finally, [PLAYER] w 4 points, what a game!!",positive
"Did [PLAYER] say ""We""? Are we hearing something soon?",neutral
"[PLAYER], man. What else can you say?",positive
What a turnaround game from [PLAYER]. ,positive
This is exactly the kind of game that makes me want to keep [PLAYER]. His grit and energy is so valuable to this team and itâs a bonus when he can chip in on the scoresheet. Really hope they can find a middle ground with his contract.,positive
Letâs not forget [PLAYER] [PLAYER]. ,positive
[PLAYER] pretty good at these interviews.,positive
This fucksss team means the world to me holy shit. [PLAYER] [PLAYER] I am so happy for you. Actual chills.,positive
"4 point game for [PLAYER], our goat was dominant every shift",positive
LETS FUCKING GO [PLAYER] IS HERE,positive
Where is the gif of [PLAYER] and the smelling salts?! Need it,neutral
The game in Montreal [PLAYER] be worth watching. Maybe. You think? ð¤ ð¯ percent [PLAYER] plays.,neutral
it feels like [PLAYER]âs really gotten back into his groove,positive
I personally think [PLAYER] [PLAYER] should be mic'd up every game. I wanna hear what the man is yelling about all the time,neutral
"Hockey is just such a good sport omg lol I loved in the post game Dan Boyle half admitting that he thinks [PLAYER] is gonna be better than Crosby, then half taking it back because itâs such a wild thing to say, and then just being like fuck it Iâm just along for the for the ride ð",positive
[PLAYER] getting the empty net was good,positive
"[PLAYER] has been playing really well too. If they end up trading him, I hope heâs packaged up for a d-man and not just more draft picks.",positive
That was a fucking barn burner! Glad to see 44 doing good things. [PLAYER] is starting to look legit. Top line is ridiculous. Love these guys,positive
Iâm sold. Sign [PLAYER] to the extension now. Dudes a gamer and heâll be a huge part of this teams success!,positive
"[PLAYER] is on pace for 121 pts, second to only Gretzky for most pts in a season under 20! That's actually insane. ",positive
I love how much [PLAYER] hates the cameras and microphones lol,neutral
Im glad we got it done and [PLAYER] clutched up at the end but this has to be seen:,positive
What a freaking game! So much attitude from the boys! Love to see [PLAYER] and [PLAYER] get some payback. That was one hell of a finish!,positive
Brutal game for [PLAYER]. He needs to figure out how to freeze the puck. The missed opportunities to stop and reset in the 6 on 5 really made this game harder than it needed to be.,negative
"dang, 4 pt performance by [PLAYER]",positive
Great quote by [PLAYER] lol,neutral
Did [PLAYER] have 4 points??,positive
[PLAYER] [PLAYER] is now in 7th for single season points,positive
[PLAYER] gonna sign an extension after this game. This is the one that made him realize that he wants to be here for the long run,neutral
"KEIFER FUCKING [PLAYER], EVERYBODY!!  IT WAS ONLY A MATTER OF TIME! WHAT A GAME BY GRILLMACK!!",positive
Big saves from [PLAYER] at the end there!,positive
4 point night for [PLAYER]!,positive
Nice little 4pt game for [PLAYER] too,positive
Call him Hockey [PLAYER],positive
Why did [PLAYER] pass that lmao. Scared me to death,neutral
[PLAYER] rewarding the effort there just makes me so happy ,positive
THANK YOU [PLAYER] MY GGGG,positive
Fucking [PLAYER] made that,positive
[PLAYER] is the ultimate teammate. was faking it to pass to [PLAYER] all the way,positive
That is 4 points for the captain [PLAYER] [PLAYER],positive
They could have put [PLAYER] in there for that free EN,neutral
4 POINTER FOR THE [PLAYER],positive
thank [PLAYER]!,positive
Letâs go! Where are the [PLAYER] haters now,positive
TALK YOUR SHIT [PLAYER],positive
Nice guy [PLAYER].,positive
Having [PLAYER] with the empty netter is a kick in the nuts to Habs fans lol,neutral
[PLAYER] deserved that,positive
Smart pass. Classy assist by [PLAYER]. ,positive
"YESSS ANOTHER POINT FOR [PLAYER] [PLAYER], THE SELFLESS TEENAGER",positive
THANK YOU [PLAYER],positive
HOLY SHITTTTT [PLAYER] AND [PLAYER] WITH THE BREAKAWAY,positive
[PLAYER] deserved that and [PLAYER] knew it,positive
[PLAYER] with the Kong arms on the bench. Fuck yeah,positive
BASED [PLAYER],positive
Good guy [PLAYER]!,positive
That [PLAYER] penalty was fucking stupid,negative
Jesus Christ [PLAYER],negative
[PLAYER] stay in the fucking net,negative
"Fucking [PLAYER] man, blew the fucking game",negative
[PLAYER]s gotta have that,negative
[PLAYER] beat high glove again,negative
[PLAYER] MF [PLAYER],positive
[PLAYER] [PLAYER] really is just inevitable,positive
[PLAYER] GOALLLLL,positive
[PLAYER]!!!!!!!!,positive
LFG [PLAYER],positive
free [PLAYER] he actually didn't do it,neutral
Get [PLAYER] in Anderson's next shift,neutral
[PLAYER] goal incoming,neutral
[PLAYER] looked woozy after that hit.,neutral
[PLAYER] is criminally underrated,positive
[PLAYER] [PLAYER] being normal on the bench,neutral
"Dude, [PLAYER] looks possessed this game. Me like a lot. Have a feeling he's not done yet....",positive
Also [PLAYER] is having a hell of a game,positive
[PLAYER] literally saved us,positive
[PLAYER] goal next ????,neutral
"Ahh wtf [PLAYER] lmfao. Well we moved up by a point on 2 of the 3 teams, namely Edmonton. Anaheim seems likely to take over the division tbh.",negative
Brutal turnovers by [PLAYER],negative
"[PLAYER], are you kidding me?",negative
[PLAYER] should not have been out there. Hes been awful all night,negative
Horrible giveaways from [PLAYER] and [PLAYER] in OT,negative
Shouldâve been [PLAYER] [PLAYER] and [PLAYER] or [PLAYER],neutral
"Rare bad OT shift for [PLAYER], though the first turnover i think was just miscommunication.",negative
"how about that [PLAYER] [PLAYER] ""kick"" from several games back? lol these refs don't know what a kicking motion is",neutral
Big oof by [PLAYER] on contract day,negative
[PLAYER] and [PLAYER] canât make those mistakes. ,negative
Weird game to start [PLAYER] in OT. He was shaky all game. ,negative
More of a kick than the [PLAYER] [PLAYER] goal that was called back.,neutral
[PLAYER] trying to make sure he never sees time in OT again,negative
RIP. It's crazy how high my expectations are from [PLAYER]. I expect perfection from a 19 year old because of how good he's been.,neutral
"Should have put [PLAYER] out on that first shift, only dude who wanted it tonight",positive
"[PLAYER] is going to say that was on him, but that was [PLAYER]. Awful showing by [PLAYER] tonight",negative
wtf was that [PLAYER] and [PLAYER] ,negative
"[PLAYER] threw away the fucking game, unreal idiocy",negative
Even [PLAYER] playing like crap,negative
[PLAYER] dude,negative
This has got to be [PLAYER] worst game,negative
Can we get some of that [PLAYER] [PLAYER] OT speed?,negative
"Ok thank god for [PLAYER]. not only is this not our best game as a team, but I feel like individually so many players had truly awful games tonight lol. Iâm excited for the stat card. But letâs go win it boys.",positive
[PLAYER] [PLAYER] is so fucking clutch!!!!!Â ,positive
[PLAYER] gonna make it a 4 game goal streak,positive
did [PLAYER] deadass not see the puck or something,negative
"Question isnât if [PLAYER] [PLAYER] start OT, question is [PLAYER] he win the FO for once?",neutral
Curious who Warso [PLAYER] put out. [PLAYER] probably on his second unit? ,neutral
[PLAYER] better fucking play in this 3-on-3.,neutral
"At least [PLAYER] won't see the ice again, my God",negative
[PLAYER] first star no matter the result,positive
[PLAYER] and [PLAYER] on the ice at the same time? Oh baby.,neutral
"Call me crazy, but donât mind [PLAYER] game tn ",positive
Another [PLAYER] OT winner please or Sammy ð¤ð¤ð¤,neutral
"[PLAYER] is such a fucking battering ram, dude.",positive
nice punt [PLAYER],positive
Chief [PLAYER]! he's just continuing to look better in teal,positive
[PLAYER] man cmon.....,negative
[PLAYER] with the very bad no good pass to kill the rush,negative
[PLAYER] and [PLAYER] mightve deserved to stay past the deadline but jfc they cannot be on this team next year if we hope to do ANYTHING,negative
"[PLAYER] [PLAYER], you're officially on the LivingSale flair punishment. Please play better to be taken off of the flair.(:",negative
yall i really need [PLAYER] to lock in right now. i don't need a post game interview of warso just shitting on him,negative
[PLAYER]!,positive
[PLAYER] MY GOAT,positive
"Wow, [PLAYER]!",positive
[PLAYER] was absolutely brrrrutal,negative
[PLAYER] was atrocious in the first period.,negative
[PLAYER] let's smell some salts and lock in,negative
[PLAYER] last 5-10% of handling on any given play is very frustrating,negative
[PLAYER] and [PLAYER] having jsur awful games (along many other of course),negative
[PLAYER] looks like total ass,negative
I hate to say it... but [PLAYER] play lately has been giving me Noah gregor vibes,negative
[PLAYER] looks awful again,negative
nathan having one of his worst periods in ages right now,negative
Monster shift by [PLAYER],positive
[PLAYER] needs to be on the pp1 ,positive
[PLAYER] [PLAYER] score tonight,neutral
Need to get [PLAYER] off pp1 he always turns the damn puck over.,negative
[PLAYER] so many terrible plays on that powerplay man... 2 turnovers not even close to decent passes,negative
Idiotic from [PLAYER] to put your team short handed after a perfectly clean hit 29 seconds into the game,negative
[PLAYER] cant make a decision,negative
Fuck off [PLAYER],negative
Holy fuck [PLAYER] is awful,negative
[PLAYER] out of position because he cant turn or skate.,negative
[PLAYER] looks so solid,positive
Horrible penalty by [PLAYER],negative
Everytime I see [PLAYER] hes making terrible careless mistakes. A liability,negative
[PLAYER] what was the point of that,negative
[PLAYER] was due for one of those,positive
"Another [PLAYER] turnover, another goal conceded",negative
[PLAYER] ruins everything,negative
[PLAYER].,negative
[PLAYER] has gotta have dirt on someone,negative
Even by his standards this has been a fucking horrid night for [PLAYER]. He looks geriatric out there,negative
What was [PLAYER] [PLAYER]s deal in the first period? Dude was legit lost.,negative
John sneaky terrorist [PLAYER],negative
[PLAYER] shoot,neutral
What in the world is [PLAYER] doing out there?,negative
[PLAYER] to [PLAYER] line and Ek to Cele line? So many better options,neutral
[PLAYER] [PLAYER] [PLAYER] is a nightmare blunt rotation,negative
"Fucking hell Mukh, stay on your damn feet.",negative
[PLAYER] U FUCKING GOAT,positive
[PLAYER] looked like shit the entire game,negative
WTF ARE YOU DOING [PLAYER],negative
WHAT A SHOT [PLAYER],positive
[PLAYER] FUCKING [PLAYER],positive
[PLAYER] YOU BAD MOTHER FUCKER,positive
[PLAYER] absolutely bailing us out towards the end of that game. Team was absolutely selling him out with all those odd man chances,positive
Lord blew right by [PLAYER] like he was standing still.,negative
[PLAYER] has no hips,negative
Could [PLAYER] possibly be slower ,negative
[PLAYER] is slow as a snail ,negative
GET RID OF JOHN [PLAYER],negative
[PLAYER] going in slow motion there,negative
[PLAYER] dangle? in this economy?,positive
Tough game for [PLAYER],negative
poor executions there from [PLAYER],negative
[PLAYER] is ON tonight,positive
I think we'll now start seeing the real [PLAYER].,neutral
[PLAYER] gotta lock in ,negative
[PLAYER] is a great PKer,positive
"[PLAYER] could find himself alone in the slot and he'll still try and make the low percentage pass through two defenders to his linemate in the corner. He's been a bit snakebit, but he also constantly just throws away good opportunities for no reason",negative
Gotta take that shot [PLAYER].,negative
Why is [PLAYER] allergic to shooting?,negative
"Awful pass, [PLAYER].",negative
[PLAYER] and [PLAYER] got good chemistry,positive
chief [PLAYER] a man of the people,positive
Have not been remotely impressed with [PLAYER].,negative
Dudeeeee that was so close what a pass by [PLAYER],positive
[PLAYER] really went with the good ol' rodeo move,neutral
[PLAYER] getting the puck outta the zone is beautiful with his edgework,positive
We gotta get chief [PLAYER] off the 1st. He's not a 1st liner,negative
Another [PLAYER] penalty. I for one am shocked,negative
[PLAYER] how many damn times you gonna run into a tendy until you learn your lesson,negative
Not again.. [PLAYER],negative
Come on [PLAYER],neutral
[PLAYER] on the breakaway takes a 75% attributes debuff,negative
Nice pass Sammy,positive
What the hell was [PLAYER] doing that PP,negative
Setting up [PLAYER] for shots is umm interesting,neutral
"[PLAYER] looking very hesitant, hope he figures it out",negative
[PLAYER] has the weakest one tee Ive even seen.,negative
[PLAYER] with back to back horrible passes. What is up with him.,negative
"[PLAYER] [PLAYER], the man that you are.",positive
The way [PLAYER] is moving at 19 is nuts,positive
[PLAYER] can you not,negative
[PLAYER] wants it so badly and so do I need this goal drought to end,neutral
[PLAYER] just so snakebit this year.,neutral
Youre killing me [PLAYER],negative
so close [PLAYER],neutral
[PLAYER] you [PLAYER] get a goal,neutral
Where on earth was [PLAYER] aiming there,negative
Really hope [PLAYER] makes quite an impression on the scouts today.,neutral
[PLAYER] with the extremely ineffective slide block attempt,negative
[PLAYER] starting off strong with another turnover,negative
lmao; the close-up on [PLAYER] during warm ups while they talk about how many scouts are in the building. really hope we can get some assets back,neutral
bro was that not a stick on [PLAYER] foot,neutral
There is no need for [PLAYER] to be handling the puck this much,negative
[PLAYER] makes the 1st line ineffective. Fuck this shit,negative
I love how hungry [PLAYER] is. He's just flying all around the place ,positive
"good, cant be having [PLAYER] hurt before the TDL",neutral
We need [PLAYER] on the first line,neutral
"LOL ""[PLAYER]-like""",neutral
[PLAYER] continuously bobbles chances,negative
Dude [PLAYER].,negative
Does [PLAYER] have weighted skates? Looks like a sloth out there,negative
[PLAYER] back on the first. A thing of beauty.,neutral
is that [PLAYER] i spot on the top line,neutral
If [PLAYER] gained like 10 more lbs of muscle... he'd be unstoppable,neutral
[PLAYER] off the [PLAYER] line,neutral
[PLAYER] is back on the first it looks like.,neutral
fuck [PLAYER],negative
that should silence the [PLAYER] [PLAYER] haters,positive
Keep [PLAYER] off the ice hes been brutal today,negative
Back on the [PLAYER] streak. 2 games streak currently. Lets go for 20 more babyyyy,positive
First line is clearly better with [PLAYER],positive
Maybe stretch but how about a [PLAYER] hat trick I mean we still got 16 on the clock,neutral
Love to see how much [PLAYER] is contributing offensively,positive
"[PLAYER] has some crazy potential, I have no idea what his ceiling is but his ability to learn and improve is really impressive",positive
[PLAYER] finally made a good play,positive
i love how many fucks [PLAYER] gives,positive
"[PLAYER] realizes he doesn't have any passes Tha aren't hopes and prayers and just gets it on net, love it",positive
That was slick [PLAYER],positive
If [PLAYER] could ever figure out how to consistently put it in the back of the net he would be so dangerous.,neutral
i bet it takes one minute for [PLAYER] to fall down cuz he's such a tree,neutral
[PLAYER] must be dying to score on hellebuyck,neutral
[PLAYER] and [PLAYER] just created a fucking amazing opportunity. Best power play move I've seen all day,positive
Leave [PLAYER] alone,neutral
Holy fuck [PLAYER] cant aim for shit. Nobody is trading for him GMMG so just cut him,negative
[PLAYER]s taken a beating today. Love him going in front of the net though,neutral
Paws off [PLAYER]!,neutral
Good shit [PLAYER],positive
[PLAYER] OMFG,positive
Wtf [PLAYER],negative
toffs had some great looks this game,positive
I bet my two cats that [PLAYER] gets the ot goal... im serious,neutral
[PLAYER] [PLAYER] [PLAYER] OT starting 3,neutral
I swear to god if I see [PLAYER] or [PLAYER] out there at the OT....,negative
The patented [PLAYER] OT faceoff loss,negative
I swear [PLAYER] loses every faceoff to start OT.,negative
[PLAYER] YOU ABSOLUTE FUCKING LEGEND,positive
[PLAYER] IS SO BACK,positive
Ball dont fucking lie baby way to go [PLAYER]!,positive
[PLAYER] bouncing back very nicely in this one,positive
[PLAYER] with the eyebrow slit damn he's beautiful,neutral
Man I just saw the [PLAYER] goal. That no look behind the back pass was pure future,positive
[PLAYER] is having a regrettable period,negative
[PLAYER] standing on his fucking head.,positive
The entire defense owes [PLAYER] a hell of a dinner,positive
Bro theyre leaving [PLAYER] out to dry,neutral
I think [PLAYER] should start the next few games.,neutral
[PLAYER] slanderers need to just pack it up and leave tbh,positive
[PLAYER] heard the haters from the sabres game and decided to wake up,positive
[PLAYER] you beautiful man,positive
Why does [PLAYER] have sort of suburban mom in 90s movie face?,neutral
[PLAYER] ALMOST LOST HIS TEETH ! WEAR THAT FK MOUTHGARD,neutral
Manifesting a [PLAYER] goal tonight in front of his fam!,neutral
[PLAYER] just let him score that one. I hate that he is wearing teal! I want him gone! Shit!,negative
I feel like [PLAYER] shoulda had that ,negative
[PLAYER] needs to get that,negative
ugh [PLAYER] UGH,negative
Jesus [PLAYER] give him more space why dont you,negative
Time for [PLAYER] to make his return and get hot!,neutral
[PLAYER] is so fucking fast,positive
