,Comment,Sentiment,predicted_vader_aug
95,WENNY ACTUALLY SHOOTING IM GOING CRY. IS THIS MY SAN JOSE SHARKS??,positive,negative
98,nah cause why did ostopchuk throw it back on warsofsky,neutral,negative
100,smitty pp goal perchance ,positive,neutral
101,Okay it wasn't Mack but I'm taking credit anywayÂ ,neutral,positive
103,asky i still love you even tho you stressed me the fuck out today,positive,negative
104,"KIEFER SHERWOOD, YOU ARE A SAN JOSE SHARK",positive,neutral
105,Sherwood heard yâall talkin shit,positive,negative
106,Sherwood does bring something to this team. Itâs not 1st line minutes and itâs probably not worth 30 mill but itâs something ,positive,negative
107,"Holy fuck what a game! 7 goals, 4 points for Mack and Sherwood with his first goal!",positive,negative
108,Hell of a time for Sherwood to show up. Thatâs how you endear yourself to a fanbase!,positive,negative
111,we cant trade sherwood after tonight right?,positive,neutral
115,KEEP SHERWOOD. WE JUST FIGURED HIM OUT,positive,neutral
118,4 POINTS FOR MACKLIN CELEBRINI,positive,neutral
119, Idc Askarov is the goat.,positive,neutral
120,THAT WAS THE PERFECT GAME FOR KEIFER SHERWOOD TO SHOW UP AND HOLY FUCK SIGN HIM 8x8 I DONT FUCKING CARE GIVE ME WOOOOOOD,positive,negative
121,What a fitting end with a Gaudette Goal!,positive,neutral
122,"I'm curious what we do with Ned in the next few days. Letting him walk feels like bad asset management. I'd love to re-sign him. If we have serious playoff hopes next year, I don't think Askarov is ready to be a 1A just yet.",neutral,positive
123, sherwood getting his first goal days before trade deadline,positive,neutral
124,Sherwood has that dog in him.  What a game! ,positive,neutral
126,"Sherwood hitting the scoresheet finally, Mack w 4 points, what a game!!",positive,neutral
128,"Celebrini, man. What else can you say?",positive,neutral
129,What a turnaround game from Sherwood. ,positive,neutral
135,LETS FUCKING GO SHERWOOD IS HERE,positive,neutral
137,The game in Montreal will be worth watching. Maybe. You think? ð¤ ð¯ percent Reavo plays.,neutral,positive
145,"Celebrini is on pace for 121 pts, second to only Gretzky for most pts in a season under 20! That's actually insane. ",positive,negative
146,I love how much mack hates the cameras and microphones lol,neutral,positive
148,What a freaking game! So much attitude from the boys! Love to see Sherwood and Gaudette get some payback. That was one hell of a finish!,positive,negative
150,"dang, 4 pt performance by celebrini",positive,neutral
151,Great quote by Sherwood lol,neutral,positive
152,Did Mack have 4 points??,positive,neutral
153,Macklin Celebrini is now in 7th for single season points,positive,neutral
156,Big saves from Asky at the end there!,positive,neutral
157,4 point night for Macklin!,positive,neutral
159,Call him Hockey Gaud,positive,neutral
160,Why did Macklin pass that lmao. Scared me to death,neutral,negative
163,Fucking celebrini made that,positive,neutral
164,macklin is the ultimate teammate. was faking it to pass to gaudette all the way,positive,negative
165,That is 4 points for the captain macklin celebrini,positive,neutral
166,They could have put Eky in there for that free EN,neutral,positive
167,4 POINTER FOR THE MACK,positive,neutral
169,Letâs go! Where are the Sherwood haters now,positive,negative
170,TALK YOUR SHIT SHERWOOD,positive,negative
172,Having Gauds with the empty netter is a kick in the nuts to Habs fans lol,neutral,negative
173,Gaudette deserved that,positive,neutral
175,"YESSS ANOTHER POINT FOR MACKLIN CELEBRINI, THE SELFLESS TEENAGER",positive,neutral
177,HOLY SHITTTTT CELEBRINI AND GAUDETTE WITH THE BREAKAWAY,positive,neutral
178,Gaudette deserved that and Celebrini knew it,positive,neutral
179,Barclay with the Kong arms on the bench. Fuck yeah,positive,negative
180,BASED GAUD,positive,neutral
183,Jesus Christ Asky,negative,neutral
184,Askarov stay in the fucking net,negative,neutral
185,"Fucking Desharnais man, blew the fucking game",negative,neutral
186,Askys gotta have that,negative,neutral
187,Askarov beat high glove again,negative,neutral
188,WILL MF SMITH,positive,neutral
189,Will Mack really is just inevitable,positive,neutral
190,SMITH GOALLLLL,positive,neutral
191,SMITTY!!!!!!!!,positive,neutral
193,free ferraro he actually didn't do it,neutral,positive
197,Misa is criminally underrated,positive,neutral
200,Also Asky is having a hell of a game,positive,negative
203,"Ahh wtf Celebrini lmfao. Well we moved up by a point on 2 of the 3 teams, namely Edmonton. Anaheim seems likely to take over the division tbh.",negative,positive
205,"Dickinson, are you kidding me?",negative,positive
210,"how about that Will Smith ""kick"" from several games back? lol these refs don't know what a kicking motion is",neutral,positive
211,Big oof by Ned on contract day,negative,neutral
215,sam trying to make sure he never sees time in OT again,negative,positive
216,RIP. It's crazy how high my expectations are from Macklin. I expect perfection from a 19 year old because of how good he's been.,neutral,positive
217,"Should have put Sherwood out on that first shift, only dude who wanted it tonight",positive,neutral
220,"Dickinson threw away the fucking game, unreal idiocy",negative,positive
221,Even mack playing like crap,negative,positive
222,Dickinson dude,negative,neutral
224,Can we get some of that Misa Eklund OT speed?,negative,neutral
226,Kiefer Sherwood is so fucking clutch!!!!!Â ,positive,neutral
227,Misa gonna make it a 4 game goal streak,positive,neutral
228,did toff deadass not see the puck or something,negative,neutral
229,"Question isnât if Wennberg will start OT, question is will he win the FO for once?",neutral,positive
230,Curious who Warso will put out. Misa probably on his second unit? ,neutral,positive
231,Muk better fucking play in this 3-on-3.,neutral,positive
232,"At least Toffoli won't see the ice again, my God",negative,positive
233,kief first star no matter the result,positive,negative
235,"Call me crazy, but donât mind Klingbergs game tn ",positive,negative
236,Another Misa OT winner please or Sammy ð¤ð¤ð¤,neutral,positive
237,"Orlov is such a fucking battering ram, dude.",positive,neutral
240,Mario man cmon.....,negative,neutral
242,Klingberg and Ferraro mightve deserved to stay past the deadline but jfc they cannot be on this team next year if we hope to do ANYTHING,negative,positive
243,"Will Smith, you're officially on the LivingSale flair punishment. Please play better to be taken off of the flair.(:",negative,positive
245,NED!,positive,neutral
246,NED MY GOAT,positive,neutral
248,Smith was absolutely brrrrutal,negative,neutral
249,Smith was atrocious in the first period.,negative,neutral
250,smitty let's smell some salts and lock in,negative,neutral
254,I hate to say it... but eklunds play lately has been giving me Noah gregor vibes,negative,positive
257,Monster shift by Misa,positive,neutral
258,Misa needs to be on the pp1 ,positive,neutral
262,Idiotic from Ferraro to put your team short handed after a perfectly clean hit 29 seconds into the game,negative,positive
263,Klingberg cant make a decision,negative,neutral
266,Klingberg out of position because he cant turn or skate.,negative,neutral
270,Zack what was the point of that,negative,neutral
271,mack was due for one of those,positive,neutral
274,Klingberg.,negative,neutral
278,John sneaky terrorist Klingberg,negative,neutral
279,wenny shoot,neutral,negative
280,What in the world is klingberg doing out there?,negative,neutral
281,Graf to Misa line and Ek to Cele line? So many better options,neutral,positive
282,Kurashev Sherwood Graf is a nightmare blunt rotation,negative,neutral
284,SHERWOOD U FUCKING GOAT,positive,neutral
287,WHAT A SHOT MISA,positive,neutral
288,MICHAEL FUCKING MISA,positive,neutral
289,MISA YOU BAD MOTHER FUCKER,positive,negative
290,Ned absolutely bailing us out towards the end of that game. Team was absolutely selling him out with all those odd man chances,positive,negative
291,Lord blew right by Kling like he was standing still.,negative,positive
293,Could klingberg possibly be slower ,negative,neutral
295,GET RID OF JOHN KLINGBERG,negative,neutral
297,klingberg dangle? in this economy?,positive,neutral
300,Smith is ON tonight,positive,neutral
302,macklin gotta lock in ,negative,neutral
304,"Eklund could find himself alone in the slot and he'll still try and make the low percentage pass through two defenders to his linemate in the corner. He's been a bit snakebit, but he also constantly just throws away good opportunities for no reason",negative,positive
305,Gotta take that shot Eklund.,negative,neutral
309,chief kief a man of the people,positive,neutral
311,Dudeeeee that was so close what a pass by Smith,positive,neutral
312,Sherwood really went with the good ol' rodeo move,neutral,positive
314,We gotta get chief kief off the 1st. He's not a 1st liner,negative,neutral
317,Not again.. sherwood,negative,neutral
319,Smith on the breakaway takes a 75% attributes debuff,negative,neutral
322,Setting up Klingberg for shots is umm interesting,neutral,positive
323,"Kurashev looking very hesitant, hope he figures it out",negative,positive
326,"Michael Misa, the man that you are.",positive,neutral
327,The way Misa is moving at 19 is nuts,positive,negative
328,mack can you not,negative,neutral
329,Eky wants it so badly and so do I need this goal drought to end,neutral,negative
334,Where on earth was Kling aiming there,negative,neutral
335,Really hope klingberg makes quite an impression on the scouts today.,neutral,positive
337,Klingberg starting off strong with another turnover,negative,positive
338,lmao; the close-up on Sherwood during warm ups while they talk about how many scouts are in the building. really hope we can get some assets back,neutral,positive
343,"good, cant be having mario hurt before the TDL",neutral,negative
345,"LOL ""Celebrini-like""",neutral,positive
346,Sherwood continuously bobbles chances,negative,positive
347,Dude Sherwood.,negative,neutral
348,Does Sherwood have weighted skates? Looks like a sloth out there,negative,positive
349,Graf back on the first. A thing of beauty.,neutral,positive
350,is that graf i spot on the top line,neutral,positive
351,If Dickie gained like 10 more lbs of muscle... he'd be unstoppable,neutral,positive
353,Graf is back on the first it looks like.,neutral,positive
354,omg is sherwood finally off the top line,negative,positive
355,that should silence the will smith haters,positive,negative
357,Back on the Celebrini streak. 2 games streak currently. Lets go for 20 more babyyyy,positive,neutral
359,Maybe stretch but how about a Smitty hat trick I mean we still got 16 on the clock,neutral,negative
365,That was slick Eky,positive,neutral
366,If Eklund could ever figure out how to consistently put it in the back of the net he would be so dangerous.,neutral,negative
370,Leave Misa alone,neutral,negative
372,Misas taken a beating today. Love him going in front of the net though,neutral,positive
374,Good shit Klinger,positive,negative
375,NED OMFG,positive,neutral
378,I bet my two cats that Misa gets the ot goal... im serious,neutral,negative
380,I swear to god if I see Klingberg or Sherwood out there at the OT....,negative,positive
383,MISA YOU ABSOLUTE FUCKING LEGEND,positive,neutral
384,EKY IS SO BACK,positive,neutral
385,Ball dont fucking lie baby way to go Graf!,positive,neutral
387,smitty with the eyebrow slit damn he's beautiful,neutral,positive
388,Man I just saw the Misa goal. That no look behind the back pass was pure future,positive,negative
390,Ned standing on his fucking head.,positive,neutral
391,The entire defense owes Ned a hell of a dinner,positive,negative
394,Toff slanderers need to just pack it up and leave tbh,positive,negative
395,toff heard the haters from the sabres game and decided to wake up,positive,negative
398,SMITH ALMOST LOST HIS TEETH ! WEAR THAT FK MOUTHGARD,neutral,negative
401,I feel like Ned shoulda had that ,negative,positive
402,ned needs to get that,negative,neutral
404,Jesus klingberg give him more space why dont you,negative,neutral
