,Comment,Sentiment,predicted_textblob
139,I personally think Kiefer Sherwood should be mic'd up every game. I wanna hear what the man is yelling about all the time,neutral,negative
145,"Celebrini is on pace for 121 pts, second to only Gretzky for most pts in a season under 20! That's actually insane. ",positive,neutral
146,I love how much mack hates the cameras and microphones lol,neutral,positive
150,"dang, 4 pt performance by celebrini",positive,neutral
151,Great quote by Sherwood lol,neutral,positive
152,Did Mack have 4 points??,positive,neutral
153,Macklin Celebrini is now in 7th for single season points,positive,neutral
155,"KEIFER FUCKING SHERWOOD, EVERYBODY!!  IT WAS ONLY A MATTER OF TIME! WHAT A GAME BY GRILLMACK!!",positive,negative
156,Big saves from Asky at the end there!,positive,neutral
157,4 point night for Macklin!,positive,neutral
158,Nice little 4pt game for Mack too,positive,neutral
159,Call him Hockey Gaud,positive,neutral
160,Why did Macklin pass that lmao. Scared me to death,neutral,positive
162,THANK YOU ASKAROV MY GGGG,positive,neutral
163,Fucking celebrini made that,positive,negative
164,macklin is the ultimate teammate. was faking it to pass to gaudette all the way,positive,neutral
165,That is 4 points for the captain macklin celebrini,positive,neutral
166,They could have put Eky in there for that free EN,neutral,positive
167,4 POINTER FOR THE MACK,positive,neutral
168,thank gaudette!,positive,neutral
169,Letâs go! Where are the Sherwood haters now,positive,neutral
170,TALK YOUR SHIT SHERWOOD,positive,negative
172,Having Gauds with the empty netter is a kick in the nuts to Habs fans lol,neutral,positive
173,Gaudette deserved that,positive,neutral
175,"YESSS ANOTHER POINT FOR MACKLIN CELEBRINI, THE SELFLESS TEENAGER",positive,neutral
176,THANK YOU MACK,positive,neutral
177,HOLY SHITTTTT CELEBRINI AND GAUDETTE WITH THE BREAKAWAY,positive,neutral
178,Gaudette deserved that and Celebrini knew it,positive,neutral
179,Barclay with the Kong arms on the bench. Fuck yeah,positive,negative
180,BASED GAUD,positive,neutral
183,Jesus Christ Asky,negative,neutral
184,Askarov stay in the fucking net,negative,neutral
186,Askys gotta have that,negative,neutral
187,Askarov beat high glove again,negative,positive
188,WILL MF SMITH,positive,neutral
189,Will Mack really is just inevitable,positive,neutral
190,SMITH GOALLLLL,positive,neutral
191,SMITTY!!!!!!!!,positive,neutral
192,LFG SMITTY,positive,neutral
193,free ferraro he actually didn't do it,neutral,positive
197,Misa is criminally underrated,positive,negative
198,Will Smith being normal on the bench,neutral,positive
199,"Dude, Macklin looks possessed this game. Me like a lot. Have a feeling he's not done yet....",positive,negative
200,Also Asky is having a hell of a game,positive,negative
201,Asky literally saved us,positive,neutral
205,"Dickinson, are you kidding me?",negative,neutral
209,"Rare bad OT shift for Mack, though the first turnover i think was just miscommunication.",negative,neutral
210,"how about that Will Smith ""kick"" from several games back? lol these refs don't know what a kicking motion is",neutral,positive
211,Big oof by Ned on contract day,negative,neutral
212,Sam and Mack canât make those mistakes. ,negative,neutral
214,More of a kick than the will smith goal that was called back.,neutral,positive
215,sam trying to make sure he never sees time in OT again,negative,positive
222,Dickinson dude,negative,neutral
224,Can we get some of that Misa Eklund OT speed?,negative,neutral
226,Kiefer Sherwood is so fucking clutch!!!!!Â ,positive,negative
227,Misa gonna make it a 4 game goal streak,positive,negative
228,did toff deadass not see the puck or something,negative,neutral
229,"Question isnât if Wennberg will start OT, question is will he win the FO for once?",neutral,positive
235,"Call me crazy, but donât mind Klingbergs game tn ",positive,negative
237,"Orlov is such a fucking battering ram, dude.",positive,negative
240,Mario man cmon.....,negative,neutral
243,"Will Smith, you're officially on the LivingSale flair punishment. Please play better to be taken off of the flair.(:",negative,positive
244,yall i really need smitty to lock in right now. i don't need a post game interview of warso just shitting on him,negative,neutral
245,NED!,positive,neutral
246,NED MY GOAT,positive,neutral
248,Smith was absolutely brrrrutal,negative,positive
250,smitty let's smell some salts and lock in,negative,neutral
253,misa looks like total ass,negative,neutral
257,Monster shift by Misa,positive,neutral
258,Misa needs to be on the pp1 ,positive,neutral
260,Need to get Smith off pp1 he always turns the damn puck over.,negative,neutral
263,Klingberg cant make a decision,negative,neutral
266,Klingberg out of position because he cant turn or skate.,negative,neutral
267,misa looks so solid,positive,neutral
270,Zack what was the point of that,negative,neutral
271,mack was due for one of those,positive,negative
272,"Another Klingberg turnover, another goal conceded",negative,neutral
274,Klingberg.,negative,neutral
275,Klingberg has gotta have dirt on someone,negative,neutral
277,What was Will Smiths deal in the first period? Dude was legit lost.,negative,positive
278,John sneaky terrorist Klingberg,negative,neutral
280,What in the world is klingberg doing out there?,negative,neutral
281,Graf to Misa line and Ek to Cele line? So many better options,neutral,positive
282,Kurashev Sherwood Graf is a nightmare blunt rotation,negative,neutral
284,SHERWOOD U FUCKING GOAT,positive,negative
287,WHAT A SHOT MISA,positive,neutral
288,MICHAEL FUCKING MISA,positive,negative
289,MISA YOU BAD MOTHER FUCKER,positive,negative
290,Ned absolutely bailing us out towards the end of that game. Team was absolutely selling him out with all those odd man chances,positive,neutral
291,Lord blew right by Kling like he was standing still.,negative,positive
292,Klingberg has no hips,negative,neutral
293,Could klingberg possibly be slower ,negative,neutral
295,GET RID OF JOHN KLINGBERG,negative,neutral
297,klingberg dangle? in this economy?,positive,neutral
300,Smith is ON tonight,positive,neutral
301,I think we'll now start seeing the real Sherwood.,neutral,positive
302,macklin gotta lock in ,negative,neutral
304,"Eklund could find himself alone in the slot and he'll still try and make the low percentage pass through two defenders to his linemate in the corner. He's been a bit snakebit, but he also constantly just throws away good opportunities for no reason",negative,positive
305,Gotta take that shot Eklund.,negative,neutral
306,Why is eklund allergic to shooting?,negative,neutral
309,chief kief a man of the people,positive,neutral
310,Have not been remotely impressed with Sherwood.,negative,positive
311,Dudeeeee that was so close what a pass by Smith,positive,neutral
312,Sherwood really went with the good ol' rodeo move,neutral,positive
314,We gotta get chief kief off the 1st. He's not a 1st liner,negative,neutral
316,Kief how many damn times you gonna run into a tendy until you learn your lesson,negative,positive
317,Not again.. sherwood,negative,neutral
319,Smith on the breakaway takes a 75% attributes debuff,negative,neutral
321,What the hell was Kurashev doing that PP,negative,neutral
322,Setting up Klingberg for shots is umm interesting,neutral,positive
323,"Kurashev looking very hesitant, hope he figures it out",negative,positive
324,Klingberg has the weakest one tee Ive even seen.,negative,neutral
326,"Michael Misa, the man that you are.",positive,neutral
327,The way Misa is moving at 19 is nuts,positive,neutral
328,mack can you not,negative,neutral
329,Eky wants it so badly and so do I need this goal drought to end,neutral,negative
331,Youre killing me eklund,negative,neutral
334,Where on earth was Kling aiming there,negative,neutral
335,Really hope klingberg makes quite an impression on the scouts today.,neutral,positive
337,Klingberg starting off strong with another turnover,negative,positive
338,lmao; the close-up on Sherwood during warm ups while they talk about how many scouts are in the building. really hope we can get some assets back,neutral,positive
340,There is no need for Ned to be handling the puck this much,negative,positive
343,"good, cant be having mario hurt before the TDL",neutral,positive
344,We need Graf on the first line,neutral,positive
345,"LOL ""Celebrini-like""",neutral,positive
346,Sherwood continuously bobbles chances,negative,neutral
347,Dude Sherwood.,negative,neutral
348,Does Sherwood have weighted skates? Looks like a sloth out there,negative,neutral
349,Graf back on the first. A thing of beauty.,neutral,positive
350,is that graf i spot on the top line,neutral,positive
351,If Dickie gained like 10 more lbs of muscle... he'd be unstoppable,neutral,positive
353,Graf is back on the first it looks like.,neutral,positive
354,omg is sherwood finally off the top line,negative,positive
355,that should silence the will smith haters,positive,neutral
359,Maybe stretch but how about a Smitty hat trick I mean we still got 16 on the clock,neutral,negative
365,That was slick Eky,positive,negative
372,Misas taken a beating today. Love him going in front of the net though,neutral,positive
375,NED OMFG,positive,neutral
378,I bet my two cats that Misa gets the ot goal... im serious,neutral,negative
380,I swear to god if I see Klingberg or Sherwood out there at the OT....,negative,neutral
381,The patented Wennberg OT faceoff loss,negative,neutral
383,MISA YOU ABSOLUTE FUCKING LEGEND,positive,negative
384,EKY IS SO BACK,positive,neutral
385,Ball dont fucking lie baby way to go Graf!,positive,negative
387,smitty with the eyebrow slit damn he's beautiful,neutral,positive
388,Man I just saw the Misa goal. That no look behind the back pass was pure future,positive,neutral
389,Mukhamadullin is having a regrettable period,negative,neutral
390,Ned standing on his fucking head.,positive,negative
391,The entire defense owes Ned a hell of a dinner,positive,neutral
394,Toff slanderers need to just pack it up and leave tbh,positive,neutral
395,toff heard the haters from the sabres game and decided to wake up,positive,negative
401,I feel like Ned shoulda had that ,negative,neutral
402,ned needs to get that,negative,neutral
403,ugh Klingberg UGH,negative,neutral
404,Jesus klingberg give him more space why dont you,negative,positive
405,Time for Kingberg to make his return and get hot!,neutral,positive
